Query Image,Matched Image,Score
/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000000.png,/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000000.png,0.0
/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000000.png,/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000001.png,0.0
/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000000.png,/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000002.png,0.0
/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000000.png,/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000003.png,0.0
/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000000.png,/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000004.png,0.0
/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000001.png,/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000000.png,0.0
/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000001.png,/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000001.png,0.0
/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000001.png,/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000002.png,0.0
/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000001.png,/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000003.png,0.0
/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000001.png,/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000004.png,0.0
/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000002.png,/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000000.png,0.0
/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000002.png,/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000001.png,0.0
/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000002.png,/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000002.png,0.0
/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000002.png,/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000003.png,0.0
/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000002.png,/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000004.png,0.0
/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000003.png,/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000000.png,0.0
/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000003.png,/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000001.png,0.0
/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000003.png,/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000002.png,0.0
/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000003.png,/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000003.png,0.0
/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000003.png,/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000004.png,0.0
/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000004.png,/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000000.png,0.0
/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000004.png,/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000001.png,0.0
/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000004.png,/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000002.png,0.0
/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000004.png,/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000003.png,0.0
/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000004.png,/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000004.png,0.0
/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000005.png,/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000000.png,0.0
/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000005.png,/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000001.png,0.0
/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000005.png,/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000002.png,0.0
/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000005.png,/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000003.png,0.0
/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000005.png,/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000004.png,0.0
/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000006.png,/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000000.png,0.0
/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000006.png,/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000001.png,0.0
/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000006.png,/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000002.png,0.0
/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000006.png,/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000003.png,0.0
/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000006.png,/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000004.png,0.0
/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000007.png,/home/nitin/NitinWs/CustomOrbSlam/data/dataset/sequences/00/image_0/000000.png,0.0
